,timestamp,latitude,longitude
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
0,1722967247,-5.7960,-165.7401
